epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3048,1.78632,2.59493,1.45262,0.39929,0.39166,0.31983,0.1561,1.90554,2.14273,1.53791,0.000410628,0.000410628,0.000410628
2,68.894,1.70611,1.86277,1.37495,0.23242,0.37302,0.21877,0.09523,2.02161,3.37698,1.62773,0.000810914,0.000810914,0.000810914
3,98.8475,1.7483,1.82719,1.3938,0.35148,0.33077,0.24742,0.10958,2.01269,2.65801,1.64055,0.0011947,0.0011947,0.0011947
4,127.761,1.70344,1.73702,1.3646,0.31369,0.40289,0.32098,0.15641,1.96899,2.53995,1.55075,0.00117575,0.00117575,0.00117575
5,157.191,1.67735,1.67297,1.34931,0.51702,0.35248,0.38218,0.19559,1.95304,1.99894,1.57047,0.001151,0.001151,0.001151
6,186.814,1.6752,1.70056,1.35361,0.35208,0.34422,0.27319,0.13293,1.91734,2.85432,1.50429,0.00112625,0.00112625,0.00112625
7,217.023,1.64669,1.61313,1.32487,0.50052,0.46033,0.45498,0.24049,1.83281,1.74897,1.45971,0.0011015,0.0011015,0.0011015
8,246.324,1.63208,1.5866,1.32976,0.39282,0.49482,0.39025,0.20425,1.88128,1.92279,1.48885,0.00107675,0.00107675,0.00107675
9,276.899,1.60113,1.51967,1.30229,0.49879,0.50711,0.46709,0.25567,1.825,1.72792,1.43591,0.001052,0.001052,0.001052
10,306.527,1.56994,1.44924,1.27895,0.52984,0.53176,0.50759,0.26034,1.84053,1.57944,1.44,0.00102725,0.00102725,0.00102725
11,335.897,1.61143,1.43845,1.29067,0.50425,0.49815,0.48866,0.26953,1.87322,1.65639,1.48207,0.0010025,0.0010025,0.0010025
12,365.066,1.55368,1.37176,1.27185,0.51885,0.50829,0.49039,0.26697,1.81725,1.49116,1.43884,0.00097775,0.00097775,0.00097775
13,394.722,1.56287,1.37765,1.26927,0.54516,0.48463,0.4809,0.25761,1.8148,1.55061,1.42432,0.000953,0.000953,0.000953
14,423.421,1.53583,1.32782,1.24486,0.63474,0.46486,0.53168,0.29084,1.81454,1.52368,1.42139,0.00092825,0.00092825,0.00092825
15,452.711,1.53476,1.30501,1.24122,0.61795,0.53986,0.56346,0.3137,1.76985,1.4447,1.39702,0.0009035,0.0009035,0.0009035
16,482.497,1.48441,1.27507,1.23895,0.55154,0.5659,0.56009,0.30353,1.78803,1.42264,1.4066,0.00087875,0.00087875,0.00087875
17,511.837,1.52583,1.25098,1.236,0.56932,0.53435,0.53808,0.29753,1.77992,1.45446,1.39489,0.000854,0.000854,0.000854
18,542.238,1.48196,1.23165,1.23003,0.54604,0.53447,0.5296,0.28643,1.77417,1.50672,1.4364,0.00082925,0.00082925,0.00082925
19,572.366,1.50358,1.26651,1.24362,0.54108,0.54269,0.52849,0.29749,1.78975,1.38408,1.40748,0.0008045,0.0008045,0.0008045
20,601.708,1.45823,1.20967,1.22126,0.56967,0.53925,0.56378,0.31482,1.76421,1.40088,1.39335,0.00077975,0.00077975,0.00077975
21,631.425,1.48051,1.20938,1.22805,0.58108,0.52354,0.55076,0.30566,1.75855,1.54334,1.39571,0.000755,0.000755,0.000755
22,660.773,1.46368,1.16688,1.20971,0.67378,0.54304,0.58771,0.33522,1.74468,1.43066,1.37648,0.00073025,0.00073025,0.00073025
23,690.918,1.44363,1.11667,1.20207,0.60658,0.5795,0.59557,0.33455,1.74277,1.35875,1.38387,0.0007055,0.0007055,0.0007055
24,719.879,1.45453,1.14532,1.20731,0.58249,0.52601,0.57198,0.32,1.73026,1.36134,1.37643,0.00068075,0.00068075,0.00068075
